epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,2068.93,1.38755,3.82845,0.19132,0.85198,1.02748,0.93047,0.84761,0.92255,0.56861,0.68731,0.65886,0.5354,0.35161,1.28622,3.75182,0.07886,0.8077,1.02082,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2162.29,1.39659,3.98461,0.18923,0.85803,1.0282,0.9347,0.8473,0.9337,0.59076,0.70163,0.63602,0.53953,0.36584,1.2812,3.83163,0.07757,0.79797,1.01651,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2254.45,1.35791,3.77362,0.17785,0.83356,1.0105,0.87171,0.83012,0.89675,0.54657,0.67923,0.60705,0.53593,0.35936,1.36262,3.83901,0.07634,0.9317,1.06347,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2346.9,1.36849,3.70975,0.18225,0.85254,1.02114,0.89915,0.8665,0.92747,0.59359,0.6842,0.65995,0.54042,0.37237,1.2715,3.66392,0.06938,0.78883,1.00901,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2440.13,1.34575,3.62369,0.18251,0.83132,1.00935,0.91537,0.88035,0.93435,0.59363,0.65566,0.64748,0.49112,0.32683,1.25744,3.87793,0.07251,0.76845,1.01125,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2532.33,1.33301,3.71087,0.1845,0.82702,1.01242,0.91975,0.88047,0.94465,0.61425,0.69432,0.69521,0.56374,0.38309,1.21433,3.63086,0.07261,0.74502,0.99681,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2625.41,1.31306,3.46123,0.18076,0.80136,1.00406,0.93797,0.88917,0.94967,0.62358,0.69286,0.66499,0.57158,0.40743,1.19498,3.72705,0.07003,0.73504,0.9861,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2717.38,1.31706,3.52074,0.17795,0.8006,1.00274,0.92838,0.87657,0.93881,0.61611,0.73806,0.70151,0.61286,0.43837,1.19799,3.33892,0.07184,0.74534,0.9847,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2809.12,1.3184,3.48801,0.18196,0.80936,0.99613,0.94012,0.87028,0.941,0.62046,0.74864,0.6927,0.63588,0.46703,1.2147,3.24252,0.0709,0.77419,0.99926,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2902.23,1.28455,3.34063,0.17581,0.78419,0.998,0.93365,0.9005,0.94924,0.62432,0.74831,0.70396,0.61667,0.44286,1.19551,3.22943,0.06774,0.71542,0.97926,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2994.01,1.29547,3.33907,0.1801,0.78177,1.00175,0.93282,0.8919,0.94777,0.63244,0.72733,0.69543,0.59069,0.43893,1.18179,3.32316,0.06337,0.72159,0.97665,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3086.8,1.26307,3.43137,0.17687,0.77186,0.98385,0.93702,0.89673,0.94875,0.6328,0.71489,0.68514,0.57901,0.42856,1.19079,3.42352,0.06853,0.72952,0.97559,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3178.79,1.25982,3.30354,0.18075,0.77963,0.99188,0.94415,0.87909,0.94685,0.63387,0.7481,0.68136,0.59828,0.43465,1.16563,3.33782,0.07483,0.70599,0.97526,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3274.4,1.26391,3.16719,0.18034,0.76586,0.98387,0.94085,0.88145,0.94698,0.63689,0.74098,0.6864,0.58232,0.41974,1.14659,3.34467,0.06711,0.72765,0.97129,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
