epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,10273.9,0.93261,1.70305,0.13744,0.54416,0.88732,0.98751,0.94037,0.98589,0.74785,0.87653,0.85343,0.80872,0.70995,0.86725,1.69927,0.0449,0.4908,0.8836,0.0008912,0.0008912,0.0008912
114,10360.7,0.92914,1.60277,0.14027,0.55195,0.88938,0.98629,0.95027,0.98509,0.7466,0.88758,0.85997,0.82272,0.72719,0.87598,1.65374,0.04189,0.49138,0.88249,0.0008813,0.0008813,0.0008813
115,10447.2,0.92697,1.64728,0.13985,0.54245,0.88506,0.98265,0.96037,0.9856,0.74338,0.87197,0.84544,0.80273,0.69873,0.87041,1.79664,0.04404,0.48745,0.8809,0.0008714,0.0008714,0.0008714
116,10533.4,0.91646,1.6475,0.12754,0.54008,0.87702,0.97897,0.95905,0.9831,0.74821,0.86326,0.84941,0.80607,0.71333,0.86729,1.75919,0.04252,0.48879,0.88193,0.0008615,0.0008615,0.0008615
117,10619.4,0.90843,1.66112,0.13444,0.53313,0.88881,0.98122,0.96617,0.98706,0.74838,0.86681,0.85112,0.80362,0.71601,0.86786,1.74633,0.04378,0.48822,0.88133,0.0008516,0.0008516,0.0008516
118,10705.8,0.91917,1.58494,0.13418,0.53882,0.88388,0.97857,0.96517,0.98374,0.75125,0.87609,0.84808,0.80591,0.71758,0.86107,1.72899,0.04362,0.48377,0.88072,0.0008417,0.0008417,0.0008417
119,10791.5,0.93749,1.6134,0.13283,0.54238,0.88766,0.97738,0.97024,0.98361,0.7516,0.88627,0.87979,0.83478,0.7327,0.87196,1.63122,0.04273,0.49184,0.88304,0.0008318,0.0008318,0.0008318
120,10878.1,0.90127,1.5711,0.13423,0.53225,0.88125,0.96958,0.96854,0.98564,0.75137,0.86935,0.87054,0.81275,0.72757,0.86508,1.7213,0.04255,0.48833,0.88074,0.0008219,0.0008219,0.0008219
121,10964.6,0.91488,1.58534,0.13201,0.53722,0.88376,0.97225,0.97188,0.983,0.75557,0.86388,0.86355,0.79996,0.71284,0.84952,1.76232,0.04201,0.48255,0.87522,0.000812,0.000812,0.000812
122,11050.6,0.90659,1.56852,0.13225,0.53294,0.88327,0.9747,0.96698,0.98697,0.75477,0.87084,0.86394,0.80923,0.71904,0.85435,1.70553,0.04158,0.48262,0.87919,0.0008021,0.0008021,0.0008021
123,11138.3,0.9089,1.61436,0.1293,0.531,0.88356,0.97212,0.96723,0.98309,0.75341,0.87135,0.86787,0.81545,0.73081,0.85761,1.66918,0.04206,0.47616,0.87966,0.0007922,0.0007922,0.0007922
124,11226.7,0.90621,1.57825,0.13285,0.53505,0.88038,0.98139,0.96301,0.9835,0.75331,0.89033,0.86262,0.81968,0.7355,0.86134,1.637,0.04209,0.479,0.8807,0.0007823,0.0007823,0.0007823
125,11317.5,0.90664,1.59625,0.13136,0.5356,0.8795,0.97212,0.96731,0.98299,0.755,0.86499,0.85481,0.80069,0.7174,0.85286,1.77467,0.04289,0.4766,0.88086,0.0007724,0.0007724,0.0007724
126,11406.2,0.89661,1.5708,0.1373,0.52544,0.88321,0.97604,0.96433,0.98245,0.75539,0.87135,0.86129,0.81376,0.72676,0.85427,1.70756,0.04298,0.47081,0.8788,0.0007625,0.0007625,0.0007625
127,11494.2,0.89135,1.52783,0.13236,0.53207,0.87598,0.98076,0.96301,0.98526,0.75485,0.8839,0.87186,0.82594,0.73988,0.84529,1.60265,0.04179,0.47132,0.8752,0.0007526,0.0007526,0.0007526
128,11585.3,0.89639,1.58685,0.12606,0.5288,0.8775,0.98424,0.96169,0.98719,0.75833,0.88099,0.87029,0.82328,0.73214,0.84028,1.63924,0.04157,0.47245,0.877,0.0007427,0.0007427,0.0007427
129,11675.8,0.88729,1.59611,0.13698,0.52263,0.87941,0.97456,0.96154,0.98267,0.75651,0.87409,0.86204,0.81686,0.72856,0.84409,1.68258,0.04243,0.47352,0.87786,0.0007328,0.0007328,0.0007328
130,11765.9,0.88676,1.56283,0.1353,0.516,0.87906,0.97984,0.96565,0.98196,0.75379,0.88103,0.87069,0.81979,0.73038,0.84359,1.66478,0.04166,0.47526,0.87886,0.0007229,0.0007229,0.0007229
131,11856.4,0.88209,1.54761,0.12992,0.51826,0.87592,0.97088,0.96883,0.98296,0.7565,0.87357,0.86715,0.81449,0.73144,0.83806,1.67203,0.04117,0.46994,0.87643,0.000713,0.000713,0.000713
132,11947.4,0.87784,1.4532,0.13038,0.51923,0.87328,0.9799,0.96585,0.9825,0.75654,0.88744,0.8679,0.82552,0.73942,0.84389,1.62213,0.04225,0.46997,0.87781,0.0007031,0.0007031,0.0007031
133,12041.4,0.88657,1.43322,0.12842,0.52218,0.87261,0.97996,0.96697,0.98853,0.75887,0.86633,0.84412,0.78357,0.69978,0.84091,1.82306,0.04243,0.47019,0.87825,0.0006932,0.0006932,0.0006932
134,12131.5,0.8925,1.43935,0.1341,0.52281,0.88301,0.98423,0.96301,0.98302,0.75665,0.88032,0.86129,0.81613,0.73219,0.8389,1.61787,0.04062,0.46843,0.87806,0.0006833,0.0006833,0.0006833
135,12222,0.87848,1.43966,0.13227,0.51674,0.8742,0.97732,0.96787,0.98607,0.76078,0.88243,0.8626,0.8154,0.72692,0.82843,1.65097,0.04115,0.46292,0.87451,0.0006734,0.0006734,0.0006734
136,12312.4,0.86863,1.47767,0.12844,0.51383,0.87544,0.9758,0.95891,0.98896,0.76232,0.86666,0.86262,0.80618,0.7223,0.82805,1.7047,0.04009,0.46373,0.87518,0.0006635,0.0006635,0.0006635
137,12403,0.86265,1.41572,0.12981,0.51072,0.87329,0.97775,0.95773,0.9828,0.7606,0.8771,0.85788,0.81245,0.7309,0.83041,1.63381,0.03975,0.46295,0.8763,0.0006536,0.0006536,0.0006536
138,12493.8,0.86064,1.42743,0.13396,0.51429,0.87008,0.98929,0.95376,0.98344,0.76665,0.88952,0.85601,0.81421,0.73041,0.81903,1.67037,0.03959,0.46084,0.87553,0.0006437,0.0006437,0.0006437
139,12584.7,0.85798,1.43482,0.12745,0.51474,0.87594,0.9758,0.96169,0.98313,0.76109,0.88282,0.8559,0.81953,0.73431,0.8243,1.64874,0.0414,0.46112,0.87367,0.0006338,0.0006338,0.0006338
140,12675.3,0.86542,1.34657,0.12661,0.50923,0.86995,0.97877,0.96433,0.98364,0.7632,0.876,0.86129,0.8246,0.74363,0.82076,1.61936,0.04116,0.4595,0.87324,0.0006239,0.0006239,0.0006239
141,12765.9,0.86439,1.36701,0.12776,0.51056,0.87083,0.97684,0.96565,0.98317,0.7618,0.87936,0.85733,0.81991,0.73589,0.81497,1.61482,0.04054,0.45784,0.87313,0.000614,0.000614,0.000614
142,12857,0.86385,1.33938,0.124,0.50384,0.87109,0.98062,0.96037,0.98586,0.7638,0.881,0.85997,0.82527,0.74036,0.81868,1.61316,0.03995,0.45794,0.87586,0.0006041,0.0006041,0.0006041
143,12942.9,0.86124,1.41767,0.12487,0.51135,0.87188,0.98019,0.96301,0.98317,0.76477,0.89219,0.86366,0.82659,0.74462,0.81121,1.59933,0.04068,0.45515,0.8722,0.0005942,0.0005942,0.0005942
144,13029.1,0.85336,1.41193,0.12266,0.50363,0.87178,0.97895,0.96697,0.98301,0.75989,0.88307,0.86796,0.81242,0.73147,0.82284,1.62049,0.041,0.45714,0.87355,0.0005843,0.0005843,0.0005843
145,13115.2,0.8567,1.30293,0.13568,0.50687,0.87328,0.9838,0.96251,0.98218,0.76097,0.88898,0.87186,0.82373,0.74168,0.82255,1.5533,0.04052,0.45429,0.87349,0.0005744,0.0005744,0.0005744
146,13201.2,0.83547,1.27097,0.12026,0.49562,0.86542,0.98514,0.96303,0.98731,0.76686,0.88625,0.86452,0.81732,0.73912,0.81891,1.56357,0.04061,0.45304,0.87223,0.0005645,0.0005645,0.0005645
147,13287.4,0.83919,1.33368,0.12529,0.4983,0.86984,0.98404,0.96697,0.98736,0.76292,0.8887,0.86658,0.82672,0.7493,0.81954,1.53717,0.04103,0.4555,0.87363,0.0005546,0.0005546,0.0005546
148,13373.8,0.83767,1.29576,0.12467,0.4999,0.86365,0.98774,0.96037,0.98611,0.76389,0.8961,0.86658,0.83702,0.75842,0.81427,1.52203,0.04062,0.45716,0.87305,0.0005447,0.0005447,0.0005447
149,13459.9,0.83052,1.31691,0.11535,0.49112,0.86102,0.98646,0.96257,0.98609,0.76631,0.89561,0.8679,0.83699,0.75631,0.81397,1.54376,0.04094,0.45389,0.87239,0.0005348,0.0005348,0.0005348
150,13545.6,0.83192,1.30802,0.12235,0.4947,0.86617,0.97726,0.96169,0.98331,0.76623,0.89378,0.86702,0.83727,0.75379,0.81274,1.52815,0.04029,0.45209,0.87246,0.0005249,0.0005249,0.0005249
151,13631.4,0.83262,1.28788,0.12702,0.49218,0.86366,0.9808,0.96962,0.98363,0.76282,0.88452,0.86526,0.83136,0.75149,0.81485,1.54968,0.04026,0.45004,0.87323,0.000515,0.000515,0.000515
152,13717.5,0.83884,1.33521,0.12685,0.4952,0.86921,0.98379,0.96182,0.98592,0.7654,0.88388,0.86474,0.8261,0.74722,0.80902,1.57644,0.04014,0.45036,0.8718,0.0005051,0.0005051,0.0005051
153,13803.8,0.82647,1.27853,0.12332,0.49052,0.86454,0.98755,0.96037,0.98314,0.7654,0.88611,0.86394,0.82644,0.74719,0.80963,1.55391,0.03929,0.44649,0.87069,0.0004952,0.0004952,0.0004952
154,13889.9,0.83269,1.25418,0.1258,0.48968,0.86719,0.9878,0.96232,0.9836,0.76515,0.8882,0.87318,0.83012,0.74795,0.80397,1.53101,0.03865,0.44777,0.87068,0.0004853,0.0004853,0.0004853
155,13975.8,0.83102,1.23783,0.11931,0.48797,0.86318,0.98531,0.9683,0.98385,0.76708,0.89533,0.87006,0.83086,0.75251,0.80278,1.53813,0.03857,0.44694,0.87103,0.0004754,0.0004754,0.0004754
156,14062,0.81389,1.29272,0.11986,0.48439,0.86118,0.98981,0.9683,0.98409,0.76467,0.89141,0.86749,0.82126,0.74822,0.80626,1.54233,0.03897,0.44586,0.87107,0.0004655,0.0004655,0.0004655
157,14148,0.82521,1.22059,0.12287,0.49025,0.86267,0.98643,0.96962,0.98713,0.76893,0.90001,0.86658,0.82487,0.74765,0.80223,1.52358,0.0393,0.44525,0.87075,0.0004556,0.0004556,0.0004556
158,14234.1,0.81741,1.30982,0.12367,0.48713,0.86416,0.9826,0.96995,0.98927,0.77118,0.89866,0.8679,0.82515,0.74972,0.79922,1.49739,0.03908,0.44634,0.8706,0.0004457,0.0004457,0.0004457
159,14320.3,0.80357,1.22259,0.11624,0.47999,0.85872,0.98526,0.97114,0.98375,0.76751,0.89689,0.87327,0.83339,0.75596,0.8036,1.48902,0.03926,0.44578,0.87048,0.0004358,0.0004358,0.0004358
160,14406.1,0.79744,1.21543,0.11105,0.47724,0.85358,0.9867,0.97094,0.98854,0.77195,0.89184,0.8679,0.82117,0.75195,0.80102,1.54242,0.03893,0.44587,0.86891,0.0004259,0.0004259,0.0004259
161,14492.2,0.80372,1.20635,0.11335,0.4786,0.8576,0.98393,0.97062,0.98389,0.77256,0.88946,0.87162,0.8304,0.75755,0.80048,1.5524,0.03835,0.44448,0.86983,0.000416,0.000416,0.000416
162,14578.6,0.80724,1.22704,0.11886,0.47593,0.86035,0.98404,0.97712,0.98882,0.76876,0.88841,0.8745,0.83235,0.75762,0.80124,1.50993,0.03756,0.44598,0.87007,0.0004061,0.0004061,0.0004061
163,14664.3,0.80506,1.26965,0.11599,0.4771,0.86313,0.98204,0.9749,0.98924,0.76826,0.89408,0.88375,0.84051,0.76207,0.80035,1.4723,0.03768,0.44292,0.87001,0.0003962,0.0003962,0.0003962
164,14750.4,0.79822,1.17945,0.11133,0.47493,0.85521,0.98122,0.96638,0.98801,0.77,0.89136,0.87788,0.83711,0.76515,0.7993,1.44797,0.03785,0.44222,0.86948,0.0003863,0.0003863,0.0003863
165,14836.5,0.7888,1.17253,0.11898,0.46911,0.85754,0.97497,0.97773,0.99029,0.76996,0.90109,0.88243,0.84325,0.76497,0.79805,1.41746,0.03753,0.44012,0.86889,0.0003764,0.0003764,0.0003764
166,14924.7,0.79992,1.21241,0.1226,0.47476,0.85729,0.98494,0.96962,0.99037,0.77186,0.89528,0.88111,0.83613,0.76515,0.79441,1.42449,0.03747,0.43526,0.86826,0.0003665,0.0003665,0.0003665
167,15011,0.7947,1.16963,0.11524,0.47279,0.85653,0.97865,0.9683,0.99044,0.77323,0.89915,0.88337,0.83842,0.76183,0.79608,1.4396,0.03855,0.43759,0.86856,0.0003566,0.0003566,0.0003566
168,15096.9,0.79372,1.27007,0.12039,0.47517,0.85786,0.98719,0.96301,0.98381,0.77136,0.88554,0.87583,0.82916,0.75517,0.79608,1.47977,0.03857,0.44012,0.86774,0.0003467,0.0003467,0.0003467
169,15183.1,0.79065,1.13265,0.1171,0.47079,0.85796,0.9838,0.96286,0.98665,0.77121,0.88315,0.87583,0.82899,0.75818,0.7921,1.48068,0.0385,0.43637,0.86716,0.0003368,0.0003368,0.0003368
170,15269,0.79067,1.15874,0.1164,0.47146,0.8561,0.98395,0.97164,0.98808,0.77468,0.88762,0.87647,0.82966,0.75708,0.78507,1.48769,0.03844,0.43264,0.86549,0.0003269,0.0003269,0.0003269
171,15355.4,0.79303,1.18923,0.11798,0.4746,0.85449,0.98199,0.9683,0.98923,0.77592,0.88184,0.87054,0.82405,0.75346,0.78384,1.54453,0.03831,0.43306,0.86552,0.000317,0.000317,0.000317
172,15441.3,0.79354,1.23242,0.11522,0.47167,0.85346,0.98517,0.96554,0.98904,0.77596,0.88469,0.86922,0.82263,0.75071,0.78309,1.54201,0.03793,0.43318,0.86631,0.0003071,0.0003071,0.0003071
173,15527.6,0.78265,1.2015,0.11702,0.46402,0.85724,0.98649,0.96475,0.98871,0.77474,0.89537,0.8745,0.83499,0.7541,0.78702,1.49819,0.0381,0.43422,0.86718,0.0002972,0.0002972,0.0002972
174,15614,0.78232,1.13172,0.11657,0.46626,0.85636,0.98648,0.96371,0.98828,0.77671,0.89572,0.87186,0.83172,0.75344,0.78848,1.50539,0.03811,0.4349,0.86762,0.0002873,0.0002873,0.0002873
175,15700,0.77801,1.17294,0.11808,0.46464,0.85944,0.98734,0.96433,0.98778,0.77654,0.89297,0.87186,0.83033,0.75608,0.79109,1.48231,0.03853,0.43402,0.8672,0.0002774,0.0002774,0.0002774
176,15786.4,0.78613,1.12435,0.11189,0.4642,0.85209,0.98939,0.96169,0.98786,0.77387,0.89071,0.86922,0.831,0.75677,0.79029,1.47282,0.03877,0.43262,0.86677,0.0002675,0.0002675,0.0002675
177,15872.5,0.77103,1.09475,0.11385,0.45706,0.85209,0.98779,0.96189,0.98736,0.77262,0.89267,0.87894,0.83481,0.75938,0.78972,1.46543,0.03841,0.43304,0.86635,0.0002576,0.0002576,0.0002576
178,15958.4,0.77944,1.11457,0.11598,0.46055,0.85475,0.98389,0.96807,0.98752,0.77294,0.89522,0.88243,0.83485,0.76174,0.7877,1.43491,0.03837,0.43372,0.86686,0.0002477,0.0002477,0.0002477
179,16044.6,0.77717,1.14105,0.11875,0.46676,0.85195,0.98522,0.96845,0.98705,0.77535,0.89527,0.88085,0.83557,0.76041,0.78364,1.44015,0.03804,0.43279,0.86618,0.0002378,0.0002378,0.0002378
180,16130.7,0.76657,1.13063,0.11481,0.45438,0.85375,0.97967,0.96962,0.99033,0.77382,0.88912,0.8792,0.83258,0.7618,0.78408,1.43097,0.03782,0.43261,0.86537,0.0002279,0.0002279,0.0002279
181,16216.7,0.76827,1.05553,0.11097,0.45906,0.85178,0.98916,0.96419,0.99038,0.77325,0.89172,0.87979,0.8373,0.76487,0.784,1.40903,0.03762,0.43185,0.86553,0.000218,0.000218,0.000218
182,16303.2,0.75798,1.12339,0.11035,0.4553,0.84821,0.98786,0.96433,0.98404,0.76912,0.89049,0.87008,0.82721,0.75521,0.78622,1.44419,0.0377,0.43165,0.86607,0.0002081,0.0002081,0.0002081
183,16389.5,0.76094,1.13048,0.10996,0.45309,0.84874,0.98649,0.96487,0.984,0.77089,0.89073,0.87054,0.82924,0.76105,0.78369,1.44237,0.03847,0.43154,0.86563,0.0001982,0.0001982,0.0001982
184,16475.6,0.7636,1.0908,0.11692,0.4524,0.85037,0.98562,0.96962,0.99007,0.77257,0.89804,0.87715,0.83418,0.76297,0.78311,1.45531,0.03912,0.42892,0.86536,0.0001883,0.0001883,0.0001883
185,16561.7,0.75201,1.10855,0.10944,0.45348,0.85191,0.99054,0.96782,0.98978,0.77746,0.89081,0.86922,0.82471,0.75451,0.78275,1.49519,0.03903,0.4301,0.86493,0.0001784,0.0001784,0.0001784
186,16648,0.76209,1.04647,0.11216,0.45208,0.85097,0.99187,0.96665,0.98979,0.77647,0.89425,0.87133,0.82684,0.75553,0.78163,1.49343,0.03858,0.42977,0.86477,0.0001685,0.0001685,0.0001685
187,16734.3,0.75753,1.09477,0.11236,0.45367,0.85253,0.98919,0.96565,0.9895,0.77748,0.89509,0.87318,0.82748,0.75697,0.78085,1.48641,0.03836,0.43021,0.86487,0.0001586,0.0001586,0.0001586
188,16820.5,0.76011,1.05139,0.10887,0.45002,0.84851,0.98921,0.96851,0.98975,0.77715,0.89042,0.86946,0.82297,0.75381,0.78005,1.50047,0.03839,0.42899,0.86498,0.0001487,0.0001487,0.0001487
189,16906.6,0.76166,1.10586,0.12163,0.45589,0.85306,0.98917,0.96552,0.98893,0.77656,0.89172,0.8703,0.82104,0.74978,0.7817,1.53305,0.03836,0.4295,0.86535,0.0001388,0.0001388,0.0001388
190,16993.3,0.74411,1.05195,0.10869,0.4459,0.84931,0.98783,0.96499,0.98857,0.77529,0.89044,0.86965,0.82135,0.75454,0.78231,1.50531,0.03838,0.42806,0.8655,0.0001289,0.0001289,0.0001289
191,17076.6,0.72531,0.93312,0.05306,0.4336,0.843,0.98787,0.9683,0.98399,0.77267,0.89579,0.87437,0.83232,0.7599,0.78743,1.46367,0.0381,0.43174,0.86654,0.000119,0.000119,0.000119
192,17159.1,0.71235,0.89884,0.04967,0.42246,0.84453,0.98652,0.96691,0.98367,0.77217,0.89208,0.87353,0.82297,0.75557,0.79072,1.48289,0.03814,0.43312,0.86762,0.0001091,0.0001091,0.0001091
193,17241.8,0.70471,0.88552,0.05098,0.42007,0.84197,0.98516,0.96494,0.98369,0.77087,0.88894,0.87054,0.82255,0.75482,0.79257,1.49982,0.03776,0.43505,0.86802,9.92e-05,9.92e-05,9.92e-05
194,17327.1,0.69028,0.87448,0.05126,0.41888,0.838,0.98381,0.96326,0.98342,0.771,0.89457,0.87423,0.83118,0.75775,0.7933,1.48292,0.03775,0.43589,0.86797,8.93e-05,8.93e-05,8.93e-05
195,17413.2,0.68873,0.87897,0.05348,0.41451,0.83657,0.9838,0.96248,0.98344,0.77058,0.89448,0.87343,0.82381,0.75808,0.79354,1.47304,0.03793,0.43618,0.86819,7.94e-05,7.94e-05,7.94e-05
196,17502.2,0.69397,0.87325,0.05367,0.41544,0.83952,0.98384,0.96495,0.98368,0.7706,0.89571,0.87363,0.83045,0.75926,0.79298,1.47239,0.03756,0.43588,0.8675,6.95e-05,6.95e-05,6.95e-05
197,17586,0.68957,0.83339,0.05416,0.41452,0.83898,0.98383,0.96422,0.98373,0.7716,0.89716,0.87582,0.83161,0.75928,0.79262,1.47319,0.03718,0.43602,0.86759,5.96e-05,5.96e-05,5.96e-05
198,17669.6,0.68862,0.87262,0.05044,0.41239,0.84011,0.98514,0.9635,0.98372,0.77259,0.89492,0.87749,0.83143,0.7608,0.79129,1.46627,0.03684,0.43585,0.86734,4.97e-05,4.97e-05,4.97e-05
199,17762,0.68215,0.85302,0.05114,0.41051,0.83724,0.98516,0.96475,0.98368,0.77343,0.8936,0.87648,0.83163,0.7584,0.79057,1.46795,0.03659,0.43531,0.86695,3.98e-05,3.98e-05,3.98e-05
200,17857.9,0.67399,0.86107,0.05103,0.40613,0.83806,0.98648,0.96382,0.98393,0.77241,0.89467,0.87715,0.83176,0.76325,0.78876,1.45832,0.03655,0.43571,0.86681,2.99e-05,2.99e-05,2.99e-05
