epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2490.24,1.27601,3.63203,0.1916,0.75702,0.99043,0.95432,0.8832,0.95124,0.61896,0.73145,0.66564,0.59378,0.39508,1.19933,3.78603,0.07304,0.83343,0.98485,0.0017426,0.0017426,0.0017426
28,2581.52,1.28502,3.61046,0.19089,0.76568,0.99144,0.96432,0.89252,0.96264,0.62131,0.76576,0.70823,0.64909,0.43645,1.23207,3.39217,0.06994,0.74728,0.98107,0.0017327,0.0017327,0.0017327
29,2672.81,1.28731,3.57017,0.18623,0.76067,0.98865,0.94854,0.89564,0.95389,0.626,0.76654,0.70701,0.6354,0.43102,1.17336,3.32724,0.07064,0.70399,0.9761,0.0017228,0.0017228,0.0017228
30,2764.09,1.25312,3.53637,0.185,0.74367,0.97496,0.96356,0.91546,0.96913,0.65693,0.75449,0.71598,0.61863,0.40748,1.14708,3.4437,0.06925,0.65924,0.95634,0.0017129,0.0017129,0.0017129
31,2854.94,1.25487,3.42539,0.18632,0.73948,0.97551,0.97422,0.8985,0.96125,0.65944,0.77122,0.70803,0.62851,0.4578,1.12917,3.35831,0.06575,0.66263,0.95283,0.001703,0.001703,0.001703
32,2946.45,1.24672,3.32478,0.17984,0.73313,0.97673,0.94788,0.913,0.96619,0.65873,0.71557,0.70674,0.60473,0.4211,1.1101,3.54426,0.06995,0.6676,0.94829,0.0016931,0.0016931,0.0016931
33,3037.31,1.22994,3.29326,0.18243,0.72554,0.96325,0.95376,0.89907,0.95441,0.62454,0.72964,0.68805,0.60244,0.40084,1.19309,3.61379,0.08529,0.71861,0.97021,0.0016832,0.0016832,0.0016832
34,3128.55,1.22951,3.3565,0.18014,0.72829,0.97145,0.95811,0.88507,0.95331,0.64884,0.74255,0.69221,0.60937,0.43678,1.1351,3.32347,0.06697,0.70195,0.96359,0.0016733,0.0016733,0.0016733
35,3219.67,1.22852,3.19224,0.17799,0.73116,0.96889,0.95499,0.91281,0.96384,0.6479,0.75669,0.71896,0.63763,0.46104,1.14398,3.15223,0.06564,0.70411,0.96671,0.0016634,0.0016634,0.0016634
36,3312.33,1.2273,3.22831,0.17762,0.72241,0.97006,0.96453,0.89804,0.96525,0.64617,0.78674,0.73052,0.65731,0.47187,1.15248,2.926,0.06951,0.65406,0.94979,0.0016535,0.0016535,0.0016535
